Operation;Condition Group;Scope;Exception Name;Condition;Prefix;Error Number;Description;Description;Source;Source;Source;Source;Source
loadTable;;CsvParser;ExBadDelimiter;;;1001;'%1%' cannot be used as delimiting characters.;;m_generator.getCsvDelimiterChars();;;;
setCsvDelimiter;;CsvParser;ExBadDelimiter;;;1001;'%1%' cannot be used as delimiting characters.;;csvDelimiterChars;;;;
loadTable;;CsvParser;ExRequireDelimitingChar;;%1%(%2%,%3%);1002;New line or delimiter at the end of item in quotes is expected.;;addPath( tableFileName);m_generator.getLastLineWithFailure();m_generator.getLastColumnWithFailure();;
loadTable;;CsvParser;ExUnexpectedQuote;;%1%(%2%,%3%);1003;Unexpected quote.;;addPath( tableFileName);m_generator.getLastLineWithFailure();m_generator.getLastColumnWithFailure();;
loadTable;;CsvParser;ExStreamBad;;;1004;An error occured reading table file: %1%;;tableFileName;;;;
loadTable;;SourceFileExceptions<CsvFileT>;ExCannotOpenFile;;;1010;Cannot open table file: %1%;;tableFileName;;;;
loadTable;;SourceFileExceptions<CsvFileT>;ExCannotReadFile;;;1011;An error occured reading table file: %1%;;tableFileName;;;;
loadTable;;VerticalTableBuilderExceptions;ExUnderflow;;%1%(%2%,%3%);1020;Table row %4% contains less items than first row.;;addPath( tableFileName);m_generator.getLastLineWithFailure();m_generator.getLastColumnWithFailure();m_generator.getLastRowNumberWithFailure();
loadTable;;VerticalTableBuilderExceptions;ExOverflow;;%1%(%2%,%3%);1021;Table row %4% contains more items than first row.;;addPath( tableFileName);m_generator.getLastLineWithFailure();m_generator.getLastColumnWithFailure();m_generator.getLastRowNumberWithFailure();
setCsvCommentChars;;CsvParser;ExBadCommentChars;;;1030;The CSV comment char list '%1%' contains characters that cannot be used for commenting lines, e.g. quote or the delimiter characters.;;csvCommentChars;;;;
loadTable;;CsvParser;ExBadCommentChars;;;1030;The CSV comment char list '%1%' contains characters that cannot be used for commenting lines, e.g. quote or the delimiter characters.;;m_generator.getCsvCommentChars();;;;
setCsvQuoteChars;;CsvParser;ExBadQuoteChars;;;1031;The CSV quote char list '%1%' contains characters that cannot be used for putting text items in quotes, e.g. comment or the delimiter characters.;;csvQuoteChars;;;;
loadTable;;CsvParser;ExBadQuoteChars;;;1031;The CSV quote char list '%1%' contains characters that cannot be used for putting text items in quotes, e.g. comment or the delimiter characters.;;m_generator.getCsvQuoteChars();;;;
loadTable;;MacroProcessorExceptions;ExRowHeaderIndexOutOfBounds;;;1051;Row header index %1% exceeds the bounds of the table.;;rowHeaderIndex;;;;
loadTable;;MacroProcessorExceptions;ExColumnHeaderIndexOutOfBounds;;;1052;Column header index  %1% exceeds the bounds of the table.;;columnHeaderIndex;;;;
loadTable;;MacroProcessorExceptions;ExTableLabelAlreadyDefined;;;1053;Table label '%1%' already defined. Cannot add a second table with the same label.;;label;;;;
generate;;SourceFileExceptions<TemplateFileT>;ExCannotOpenFile;;;1060;Cannot open template file: %1%;;addPath( getCurrentFileName());;;;
generate;;SourceFileExceptions<TemplateFileT>;ExCannotReadFile;;;1061;An error occured reading template file: %1%;;addPath( getCurrentFileName());;;;
generate;;TargetFileExceptions<GeneratedFileT>;ExCannotOpenFile;;;1070;Cannot open target file: %1%;;targetFileName;;;;
generate;;TargetFileExceptions<GeneratedFileT>;ExCannotWriteToFile;;;1071;An error occured writing to target file: %1%;;targetFileName;;;;
generate;;TargetFileExceptions<IntermediateFileT>;ExCannotOpenFile;;;1080;Cannot open intermediate file: %1%;;intermediateFileName;;;;
generate;;TargetFileExceptions<IntermediateFileT>;ExCannotWriteToFile;;;1081;An error occured writing to intermediate file: %1%;;intermediateFileName;;;;
generate;;FilesBinaryEqualExceptions;ExStreamBad;;;1090;Failed to compare intermediate file '%1%' with target file '%2%';;intermediateFileName;targetFileName;;;
generate;;GeneratorExceptions;ExFailedToDeleteTempFile;;;1100;Failed to delete intermediate output file: %1%;;intermediateFileName;;;;
generate;;GeneratorExceptions;ExFailedToDeleteOldTargetFile;;;1101;Failed to delete old version of target file '%1%' for replacement with intermediate file.;;targetFileName;;;;
generate;;GeneratorExceptions;ExCannotMoveIntermediateFile;;;1102;Failed to move intermediate file '%1%' to target file '%2%';;intermediateFileName;targetFileName;;;
generate;;KeywordParameterParser;ExParameterStartExpected;;%1%(%2%);1206;Parameter is missing or syntax is incorrect,  '[' is expected.; The line number shown corresponds to the last read line. This may not be the line causing the error for multi line macros.;addPath( getCurrentFileName());getCurrentLineNumber();;;
generate;;KeywordParameterParser;ExParameterSeparatorExpected;;%1%(%2%);1207;Less parameters then expected or syntax is incorrect, ',' is expected.; The line number shown corresponds to the last read line. This may not be the line causing the error for multi line macros.;addPath( getCurrentFileName());getCurrentLineNumber();;;
generate;;KeywordParameterParser;ExParameterEndExpected;;%1%(%2%);1208;More parameters then expected or syntax is incorrect, ']' is expected.; The line number shown corresponds to the last read line. This may not be the line causing the error for multi line macros.;addPath( getCurrentFileName());getCurrentLineNumber();;;
generate;;KeywordParameterParser;ExParameterValueExpected;;%1%(%2%);1209;Parameter value is missing or syntax is incorrect.; The line number shown corresponds to the last read line. This may not be the line causing the error for multi line macros.;addPath( getCurrentFileName());getCurrentLineNumber();;;
generate;;KeywordParameterParser;ExCharsUsedForPaddingNotSupported;;%1%(%2%);1215;The text passed for padding contains unsupported characters.; The line number shown corresponds to the last read line. This may not be the line causing the error for multi line macros.;addPath( getCurrentFileName());getCurrentLineNumber();;;
generate;;ProcessingLevelControlExceptions;ExPossibleInfiniteLoop;;%1%(%2%);1250;Recursion exceeded the maximum of %3% levels while expanding macro.; The line number shown corresponds to the last read line. This may not be the line causing the error for multi line macros.;addPath( getCurrentFileName());getCurrentLineNumber();m_generator.getMaxNumberOfRecursionLevels();;
generate;;ProcessingLevelControlExceptions;ExCannotSetRecursionLevelLimit;;%1%(%2%);1251;The set recursion level limit directive can only be used at the beginning of a line and outside of a macro.; The line number shown corresponds to the last read line. This may not be the line causing the error for multi line macros.;addPath( getCurrentFileName());getCurrentLineNumber();;;
generate;;TemplateLoaderExceptions;ExCyclicInclusion;;%1%(%2%);1300;Cyclic inclusion detected.;;addPath( getCurrentFileName());getCurrentLineNumber();;;
generate;;ParameterParser;ExMissingDelimiterInParameterDescription;;;1400;Syntax bad for parameter option number %1%, expecting name=value but is: %2%;;(m_generator.getIndexOfLastProcessedParameter() + 1);parameters.at( m_generator.getIndexOfLastProcessedParameter());;;
generate;;RegexMatchesConstraintExceptions;ExRegexSyntaxError;;%1%(%2%);1500;Syntax error in regular expression.; The line number shown corresponds to the last read line. This may not be the line causing the error for multi line macros.;addPath( getCurrentFileName());getCurrentLineNumber();;;
generate;;RegexReplaceConversionExceptions;ExRegexSyntaxError;;%1%(%2%);1500;Syntax error in regular expression.; The line number shown corresponds to the last read line. This may not be the line causing the error for multi line macros.;addPath( getCurrentFileName());getCurrentLineNumber();;;
generate;;CalcConversionExceptions;ExDivisionByZero;;%1%(%2%);1510;Division by zero.; The line number shown corresponds to the last read line. This may not be the line causing the error for multi line macros.;addPath( getCurrentFileName());getCurrentLineNumber();;;
generate;;CalcConversionExceptions;ExArithmeticExpressionSyntaxError;;%1%(%2%);1511;Syntax error in arithmetic expression.; The line number shown corresponds to the last read line. This may not be the line causing the error for multi line macros.;addPath( getCurrentFileName());getCurrentLineNumber();;;
generate;;TemplatePreprocessorExceptions;ExPrefixLeadingWhiteSpace;;%1%(%2%);1602;Leading white space for markup prefix is not allowed.;;addPath( getCurrentFileName());getCurrentLineNumber();;;
generate;;TemplatePreprocessorExceptions;ExPostfixTrailingWhiteSpace;;%1%(%2%);1603;Trailing white space for markup postfix is not allowed.;;addPath( getCurrentFileName());getCurrentLineNumber();;;
generate;;TemplatePreprocessorExceptions;ExBadlyPlacedTrim;;%1%(%2%);1604;Trim directives are expected at the end of a line. Trailing whitespace is allowed.;;addPath( getCurrentFileName());getCurrentLineNumber();;;
