Tag Name;Tag Name Small;Tag Name Capital;Type;Subtype;Subtype;Parameter Count;Parameter Format;Parameter Check Function;Parameter;Syntax Example;Description;Tokenizer Preprocessor Action;Tokenizer Preprocessor Check;Applyable;Applyable;Applyable;Applyable;Applyable;Applyable;Applyable;Applyable;Applyable;Applyable;Applyable;Applyable;Applyable;Applyable;Applyable;Applyable;Applyable;Applyable;Applyable;Applyable;Applyable
COMMENT;comment;Comment;preprocessor directive;preprocessor;;;;;;[COMMENT] This can be used for commenting templates.;A line starting with this tag is suppressed and can be used to comment the template without affecting the output. Any whitespace surrounding the statement is ignored.;"return *this;";starts_with;;;;;;;;;;;;;;;;;;;;;
INCLUDE;include;Include;preprocessor directive;preprocessor;;1;Plain;;Path and name of the file to include;"[INCLUDE][""file.h""][TRIM]";A line starting with this tag causes the intermediate processing of the file specified by the parameter. The include tag can be placed anywhere in the template file. If a relative path is provided it is relative to the template file containing the INCLUDE tag. If the file is not found there the include directories are searched for a file with the relative path.;;;;;;;;;;;;;;;;;;;;;;;
SET_MARKUP;markup;Markup;preprocessor directive;preprocessor;;2;Plain;;Prefix, Postfix;"[SET_MARKUP][""<<"","">>""]";Changes the markup prefix and postfix used for the next lines of the template file after the line containing the statement and for subsequently included files. Leading whitespace for a prefix  and trailing whitespace for a postfix is not allowed. The markup is only changed for the scope of the current file and subsequently included files. It has no effect on a template file that included a file changing the markup.;;;;;;;;;;;;;;;;;;;;;;;
TRIM;trim;Trim;preprocessor directive;preprocessor;;;;;;    [BEGIN][TRIM];Leading and trailing white space characters (including the new line character) and the tag itself are removed from a line ending with the tag. The main purpose is to allow a better readable formatting of the macros in the template file. A single line macro is not extended to the next line when using trim.;"start = range.begin();
end = range.end() - keywordSize;
trimmedRight = true;
break;";ends_with;;;;;;;;;;;;;;;;;;;;;
TRIM_LEFT;trimLeft;TrimLeft;preprocessor directive;preprocessor;;;;;;"    [ENTRY][""List""][TRIM_LEFT]";Leading white space characters and the tag itself are removed from a line ending with the tag. The main purpose is to allow a better readable formatting of the macros in the template file.;"start = range.begin();
end = range.end() - keywordSize;
trimLeftTokenTrailingTextBegin = range.end();
break;";ends_with;;;;;;;;;;;;;;;;;;;;;
TRIM_RIGHT;trimRight;TrimRight;preprocessor directive;preprocessor;;;;;;"    [ENTRY][""List""][TRIM_RIGHT]     ";Trailing white space characters (including the new line character) and the tag itself are removed from a line ending with the tag. The main purpose is to allow a better readable formatting of the macros in the template file. A single line macro is not extended to the next line when using trim left.;"end = range.end() - keywordSize;
trimmedRight = true;
break;";ends_with;;;;;;;;;;;;;;;;;;;;;
PART;part;Part;preprocessor directive;processor;;1;Combi1Plain1CStyleOptional1UIntOptional;;The label of the part to expand. Optional: The left padding characters and the total count of characters to pad.;"    [ENTRY][""List""][PART][""LengthyAdditionalTagsAndText""]";"PART expands to a previously defined fragment of a template, e.g. a fragment of a macro. This useful if macros get very large, parts of a macro need to be repeated often or if you need to inject parameters into a macro. You can use PART_BEGIN and PART_END to define a part.

Additional padding can be inserted after new line character padding the beginning of a line. If more than one character is provided, the rightmost character is used for padding. All additional characters are always added leftmost. The characters passed for padding must not contain characters with ASCII code less than 32, e.g. new line or tab. If the count is ommited the passed string is used for padding left as is.  If the character count is zero nothing is added at all.";;;;;;;;;;;;;;;;;;;;;;;
PART_BEGIN;partBegin;PartBegin;processing directive;processor;;1;Plain;;The label of the part to add.;"[PART_BEGIN][""myLabel""][CONTAINS][""xyz""]more[PART_END]";The PART_BEGIN and PART_END tags are used to declare a fragment of a template can span multiple lines or is located inside a single line. The part identified by its label can be inserted later using the PART tag. Part blocks cannot be nested. Part blocks cannot be defined inside macro blocks defined by MACRO_BEGIN and MACRO_END. You can use delay dots  together with PART_BEGIN and PART_END to define parts with data from one table, e.g. parameters, and use the parts for processing another table. Redefining a part with the same label  is not allowed. You can use PART_REMOVE to delete a previous definition. If PART_BEGIN is encountered the previous content of the line is processed and can form a macro. Parts are available from definition to the end of processing of the main  file, unless the are removed by using PART_REMOVE. Parts can be defined in include files (see INCLUDE tag) and are available in subsequently included files.;;;;;;;;;;;;;;;;;;;;;;;
PART_END;partEnd;PartEnd;processing directive;processor;;;;;;"[PART_BEGIN][""myLabel""][CONTAINS][""xyz""]more[PART_END]";Closes a part block.;;;;;;;;;;;;;;;;;;;;;;;
PART_LAZY;partLazy;PartLazy;processing directive;processor;;1;Combi1Plain1CStyleOptional1UIntOptional;;The label of the part to expand. Optional: The left padding characters and the total count of characters to pad.;"[PART_BEGIN][""L1""][CONTAINS][""xyz""][PART_LAZY][""L2""][PART_END]";Behaves exactly like the part tag. The difference is the time the PART_LAZY tag is evaluated when located in another part block. A PART tag is expanded immediately into the enclosing part block. PART_LAZY is expanded when the enclosing PART block is expanded.;;;;;;;;;;;;;;;;;;;;;;;
