Option Name;Short
load-table;
label;a
top-down;t
left-to-right;l
row-header-index;w
column-header-index;n
pad-rows;
unload-table;x
template-source-file;s
output-file;o
parameter;p
use-intermediate-output-file;u
intermediate-file-extension;e
markup-prefix;
markup-postfix;
markup;m
append-to-file;
inlined;
inline-prefix;b
inline-postfix;c
inline-generated-postfix;d
inline-pad;
recycle;y
can-change-table-list;
reset;r
add-include-directory;i
csv-delimiter-chars;
csv-comment-chars;
csv-quote-chars;
log-file;
