Tag Name;Type
COMMENT;preprocessor directive
INCLUDE;preprocessor directive
SET_MARKUP;preprocessor directive
TRIM;preprocessor directive
TRIM_LEFT;preprocessor directive
TRIM_RIGHT;preprocessor directive
PART;preprocessor directive
PART_BEGIN;processing directive
PART_END;processing directive
PART_LAZY;processing directive
PART_PADDING;processing directive
PART_REMOVE;processing directive
SET_RECURSION_LEVEL_LIMIT;processing directive
SET_RECURSION_LEVEL_LIMIT_OFF;processing directive
TABLE_BEGIN;processing directive
TABLE_END;processing directive
TABLE_LOAD;processing directive
TABLE_REMOVE;processing directive
ANY;macro keyword
AS_VOLATILE;macro keyword
BEGIN;macro keyword
BLOCK_FORMAT;macro keyword
CALC;macro keyword
CONTAINS;macro keyword
COUNT;macro keyword
END;macro keyword
ENDS_WITH;macro keyword
ENTRY;macro keyword
EQUALS;macro keyword
ERROR;macro keyword
FIRST_TIME;macro keyword
FLUSH;macro keyword
FOR_ALL;macro keyword
HTML_ESCAPE;macro keyword
IF;macro keyword
IGNORE_CASE;macro keyword
INDEX;macro keyword
LAST_TIME;macro keyword
MACRO_BEGIN;macro keyword
MACRO_END;macro keyword
MATCHES_REGEX;macro keyword
MERGE;macro keyword
NOT;macro keyword
OR;macro keyword
PAD_LEFT;macro keyword
PAD_RIGHT;macro keyword
READ_LEFT_TO_RIGHT;macro keyword
READ_TOP_DOWN;macro keyword
REGEX_REPLACE;macro keyword
REPLACE;macro keyword
STARTS_WITH;macro keyword
TO_CSTRING;macro keyword
TO_CSV;macro keyword
TO_LOWER;macro keyword
TO_SIZE;macro keyword
TO_UPPER;macro keyword
